"ids","entitynum","region","site","londd","latdd","altitude","samplenum","agebp","variable","value","group","ntNA"
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16518,118,"Abies",NA,"Herb",0
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16518,118,"Alnus",26.11,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16518,118,"Artemisia",0.28,"Herb",13
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16518,118,"Betula",36.39,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16518,118,"Brassicaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16518,118,"Cyperaceae",16.94,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16518,118,"Fabaceae",NA,"Shrub",2
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16518,118,"Onagraceae",NA,"Shrub",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16518,118,"Picea",6.67,"Trees",12
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16518,118,"Pinus",0.28,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16518,118,"Populus",NA,"Herb",6
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16518,118,"Salix",2.22,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16518,118,"Saxifragaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16518,118,"Sphagnum",1.11,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16518,118,"Thalictrum",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16519,588,"Abies",NA,"Herb",0
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16519,588,"Alnus",17.32,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16519,588,"Artemisia",0.79,"Herb",13
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16519,588,"Betula",36.75,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16519,588,"Brassicaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16519,588,"Cyperaceae",24.41,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16519,588,"Fabaceae",NA,"Shrub",2
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16519,588,"Onagraceae",NA,"Shrub",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16519,588,"Picea",6.3,"Trees",12
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16519,588,"Pinus",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16519,588,"Populus",NA,"Herb",6
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16519,588,"Salix",0.79,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16519,588,"Saxifragaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16519,588,"Sphagnum",1.05,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16519,588,"Thalictrum",NA,"Trees",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16520,1107,"Abies",NA,"Herb",0
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16520,1107,"Alnus",22.6,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16520,1107,"Artemisia",1.68,"Herb",13
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16520,1107,"Betula",31.97,"Shrub",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16520,1107,"Brassicaceae",NA,"Herb",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16520,1107,"Cyperaceae",19.95,"Herb",15
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16520,1107,"Fabaceae",NA,"Shrub",2
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16520,1107,"Onagraceae",0.24,"Shrub",1
"Entity_789_Region_North America",789,"North America","Etivlik Lake",-156.033333,68.133333,631,16520,1107,"Picea",7.69,"Trees",12
