"ids","entitynum","region","site","londd","latdd","altitude","samplenum","agebp","variable","value","group"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Alnus",0.67,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Apiaceae",4.03,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Asteroideae",2.35,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Betula",22.15,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Caryophyllaceae",0.67,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Castanea",1.01,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Cichorioideae",1.34,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Corylus",2.35,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Cyperaceae",2.01,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"DJFPdelta",0.75,"Precipitation"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"DJFTdelta",-0.3375,"Temperature"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Ericales",5.7,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Fagus",5.37,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"JJAPdelta",2.0375,"Precipitation"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"JJATdelta",-0.7625,"Temperature"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Juniperus",2.35,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Pinus",2.01,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Plantago",8.39,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Poaceae",24.83,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Quercus..deciduous.",10.4,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Rosaceae",0.67,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"Rumex",3.36,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,1,0.07,"minD",0,"Model"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"Artemisia",0.99,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"Betula",64.14,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"Corylus",1.64,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"Cyperaceae",0.99,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"DJFPdelta",46.275,"Precipitation"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"DJFTdelta",0,"Temperature"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"Ericales",2.96,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"Fagus",3.95,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"JJAPdelta",-7.25,"Precipitation"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"JJATdelta",-2.1625,"Temperature"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"Juniperus",1.32,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"Pinus",0.99,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"Plantago",1.64,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"Poaceae",8.55,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"Quercus..deciduous.",7.89,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"Rumex",1.64,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,2,71.19,"minD",19.48951973,"Model"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,3,172.77,"Alnus",0.66,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,3,172.77,"Apiaceae",2.62,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,3,172.77,"Betula",59.02,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,3,172.77,"Cichorioideae",1.31,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,3,172.77,"Corylus",0.66,"Pollen taxa"
"Entity_33_Region_Europe",33,"Europe","Lago de Ajo",-6.15,43.05,1570,3,172.77,"Cyperaceae",0.98,"Pollen taxa"
